"country","year","province","municipality","waste_generation_tpd","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","known_share_pct","unknown_or_other_share_pct","estimated_lhv_low_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_other5_mj_per_kg","existing_feedstock_risk_score_0_100","source_note"
"Indonesia","2025","Aceh","Kabupaten Simeulue","38.85","24.8","10.1","25.7","60.6","39","12.508","13.128","15.078","46.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Singkil","54.9","30","15","22","67","33","11.917","12.667","14.317","56.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Selatan","96.8","30.08","13.1","16.33","59.51","40","9.399","10.152","12.152","62.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Tenggara","115.64","41","9","30","80","20","14.628","15.653","16.653","56.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Timur","184.56","25","9","15","49","51","8.111","8.736","11.286","61.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Tengah","120.5","22","7","26","55","45","12.088","12.639","14.889","46.85","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Barat","104.61","46.05","8.25","18.94","73.24","27","10.308","11.46","12.81","59.7","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Besar","149.14","25.5","9.5","21.6","56.6","43","10.819","11.457","13.607","58.8","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Pidie","181.02","7","22","43","72","28","20.439","20.614","22.014","29.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Bireuen","181.3","42.7","14.2","18.9","75.8","24","11.019","12.087","13.287","57.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Utara","253.45","30","10","40","80","20","18.353","19.103","20.103","48.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Barat Daya","77.5","15","25","25","65","35","14","14.375","16.125","32.3","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Gayo Lues","41.94","24","10","40","74","26","18.142","18.742","20.042","45.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Tamiang","123.64","36.48","17","40","93.48","7","19.574","20.487","20.837","47.2","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Nagan Raya","72.44","46","2","34","82","18","15.398","16.549","17.449","48.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Aceh Jaya","50.91","48","10","14","72","28","8.664","9.865","11.265","79.2","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kabupaten Bener Meriah","68.81","20","20","25","65","35","13.466","13.966","15.716","30.7","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kota Banda Aceh","259.4","29.48","6.34","25.75","61.57","38","12.158","12.896","14.796","52.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kota Sabang","17.62","20","5","20","45","55","9.352","9.852","12.602","26.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kota Langsa","91.96","36.07","10.28","18.16","64.51","35","9.936","10.838","12.588","49.55","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kota Lhokseumawe","102.03","54.4","15.04","14.02","83.46","17","9.612","10.973","11.823","83.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Aceh","Kota Subulussalam","52.78","25","15","20","60","40","10.947","11.573","13.573","53.25","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Jembrana","163.93","27.37","0.84","19.04","47.25","53","8.64","9.324","11.974","55.75","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Badung","876.05","17.12","6.82","16.28","40.22","60","8.033","8.461","11.461","48.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Gianyar","562","16.97","8.25","18.93","44.15","56","9.282","9.707","12.507","40.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Klungkung","112.23","30.05","10.05","12.03","52.13","48","7.258","8.01","10.41","48.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Bangli","113.86","27.7","5.3","10.3","43.3","57","5.815","6.508","9.358","59.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Karangasem","281.22","10","11","20","41","59","9.852","10.102","13.052","37.3","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Bali","Kabupaten Buleleng","414.08","4","6.69","14.69","25.38","75","6.922","7.022","10.772","46.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Banten","Kabupaten Lebak","612.63","30","10","15","55","45","8.428","9.179","11.429","60.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
