"country","year","province","municipality","municipality_normalized","waste_generation_tpd","managed_waste_pct","unmanaged_waste_pct","leaked_to_environment_pct","rdf_status","wte_psel","composition_match","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","paper_plastic_share_pct","combustible_dry_share_pct","reported_component_sum_pct","municipality_feedstock_risk_score_0_100","municipality_feedstock_risk_level","risk_formula_note"
"Indonesia","2025","Aceh","Kabupaten Simeulue","kabupaten simeulue","38.85","0.13","0.87","0.39","","Tidak Ada","matched","24.8","10.1","25.7","35.8","60.5","100","46.6","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Singkil","kabupaten aceh singkil","54.9","0.04","0.96","0.83","","Tidak Ada","matched","30","15","22","37","55","100","56.65","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Selatan","kabupaten aceh selatan","96.8","0.01","0.99","0.63","","Tidak Ada","matched","30.08","13.1","16.33","29.43","50.57","100","62.05","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Tenggara","kabupaten aceh tenggara","115.64","0.28","0.72","0.59","","Tidak Ada","matched","41","9","30","39","54","100","56.5","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Timur","kabupaten aceh timur","184.56","0","1","0.58","","Tidak Ada","matched","25","9","15","24","61","100","61.5","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Tengah","kabupaten aceh tengah","120.5","0.09","0.91","0.33","","Tidak Ada","matched","22","7","26","33","67","100","46.85","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Barat","kabupaten aceh barat","104.61","0.63","0.37","0.37","","Tidak Ada","matched","46.05","8.25","18.94","27.19","48.96","100","59.7","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Besar","kabupaten aceh besar","149.14","0.02","0.98","0.92","Telah MoU","Tidak Ada","matched","25.5","9.5","21.6","31.1","63.2","100","58.8","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Pidie","kabupaten pidie","181.02","0.12","0.88","0.71","","Tidak Ada","matched","7","22","43","65","76","100","29.1","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Bireuen","kabupaten bireuen","181.3","0.33","0.67","0.17","","Tidak Ada","matched","42.7","14.2","18.9","33.1","47.3","100","57.65","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Utara","kabupaten aceh utara","253.45","0.05","0.95","0.76","","Tidak Ada","matched","30","10","40","50","63","100","48.95","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Barat Daya","kabupaten aceh barat daya","77.5","0.14","0.86","0.64","","Tidak Ada","matched","15","25","25","50","67","100","32.3","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Gayo Lues","kabupaten gayo lues","41.94","0","1","0.77","","Tidak Ada","matched","24","10","40","50","70","100","45.1","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Tamiang","kabupaten aceh tamiang","123.64","0.28","0.72","0.56","","Tidak Ada","matched","36.48","17","40","57","57.49","100","47.2","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Nagan Raya","kabupaten nagan raya","72.44","0.73","0.27","0.27","","Tidak Ada","matched","46","2","34","36","48","100","48.95","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Aceh Jaya","kabupaten aceh jaya","50.91","0.02","0.98","0.36","","Tidak Ada","matched","48","10","14","24","41","100","79.2","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Bener Meriah","kabupaten bener meriah","68.81","0.14","0.86","0.04","","Tidak Ada","matched","20","20","25","45","70","100","30.7","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kabupaten Pidie Jaya","kabupaten pidie jaya","66.03","0.02","0.98","0.82","","Tidak Ada","unmatched","","","","","","","93.43","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kota Banda Aceh","kota banda aceh","259.4","0.03","0.97","0.04","Telah MoU","Tidak Ada","matched","29.48","6.34","25.75","32.09","57.74","100","52.6","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kota Sabang","kota sabang","17.62","0.97","0.03","0.03","Penjajakan","Tidak Ada","matched","20","5","20","25","45","100","26.6","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kota Langsa","kota langsa","91.96","0.64","0.36","0.36","","Tidak Ada","matched","36.07","10.28","18.16","28.44","44.33","91.92","49.55","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kota Lhokseumawe","kota lhokseumawe","102.03","0.12","0.88","0.88","Penjajakan","Tidak Ada","matched","54.4","15.04","14.02","29.06","31.04","100","83.65","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Aceh","Kota Subulussalam","kota subulussalam","52.78","0.04","0.96","0.78","","Tidak Ada","matched","25","15","20","35","60","100","53.25","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Jembrana","kabupaten jembrana","163.93","0.35","0.65","0.29","Telah MoU","Tidak Ada","matched","27.37","0.84","19.04","19.88","70.98","100","55.75","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Tabanan","kabupaten tabanan","239.2","0.09","0.91","0.28","","Tidak Ada","unmatched","","","","","","","73","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Badung","kabupaten badung","876.05","0.17","0.83","0.31","","Dalam Perencanaan","matched","17.12","6.82","16.28","23.1","46.63","100","48.5","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Gianyar","kabupaten gianyar","562","0.31","0.69","0.24","Telah MoU","Tidak Ada","matched","16.97","8.25","18.93","27.18","78.03","100","40.4","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Klungkung","kabupaten klungkung","112.23","0.58","0.42","0.06","","Tidak Ada","matched","30.05","10.05","12.03","22.08","62.55","100","48.1","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Bangli","kabupaten bangli","113.86","0.27","0.73","0.07","","Tidak Ada","matched","27.7","5.3","10.3","15.6","65.1","100","59.05","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Karangasem","kabupaten karangasem","281.22","0.23","0.77","0.63","","Tidak Ada","matched","10","11","20","31","81.06","100","37.3","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kabupaten Buleleng","kabupaten buleleng","414.08","0.13","0.87","0.5","","Tidak Ada","matched","4","6.69","14.69","21.38","92.1","100","46.5","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bali","Kota Denpasar","kota denpasar","1033.08","0.11","0.89","0.14","PKS - Operasional","Dalam Perencanaan","unmatched","","","","","","","67.57","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Banten","Kabupaten Pandeglang","kabupaten pandeglang","565.56","0.03","0.97","0.95","","Tidak Ada","unmatched","","","","","","","96.43","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Banten","Kabupaten Lebak","kabupaten lebak","612.63","0.23","0.77","0.69","Penjajakan","Tidak Ada","matched","30","10","15","25","47","100","60.5","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Banten","Kabupaten Tangerang","kabupaten tangerang","2663.01","0.04","0.96","0.45","Telah PKS","Dalam Perencanaan","unmatched","","","","","","","81.43","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Banten","Kabupaten Serang","kabupaten serang","1191.26","0.01","0.99","0.99","","Dalam Perencanaan","unmatched","","","","","","","99","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
