country,year,total_waste_generated_tpy,total_waste_generated_tpd,per_capita_waste_kg_day_person,food_waste_tpy,food_waste_tpd,food_waste_share_pct,paper_waste_tpy,paper_waste_tpd,paper_waste_share_pct,plastic_waste_tpy,plastic_waste_tpd,plastic_waste_share_pct,incinerated_tpd,landfill_or_disposed_tpy,landfill_or_disposed_tpd,other_methods_tpd,recycled_tpy,recycling_rate_pct,weather_location_proxy,weather_temp_mean_c,weather_relative_humidity_pct,weather_precipitation_mm_total,weather_precipitation_days_1mm,weather_precipitation_days_10mm,weather_wind_speed_mps,primary_source,weather_source
Indonesia,2019,27618317.0,75666.0,0.66,11267915.0,30871.0,40.7990378769857,3230980.0,8852.0,11.69878148706156,4385475.0,12015.0,15.878994528586155,0.0,8156655.0,22347.0,9097.0,,,Jakarta,27.713,78.87,1905.26,217,55,2.311,teammate uploaded CSV; SIPSN-derived,NASA POWER Daily API aggregated annual
Indonesia,2020,27592603.0,75389.0,0.65,11226670.0,30758.0,40.7990555651355,3219300.0,8820.0,11.699319529374312,4369415.0,11971.0,15.87897438618366,0.0,8267250.0,22650.0,9630.0,,,Jakarta,27.565,83.051,2669.54,303,81,2.421,teammate uploaded CSV; SIPSN-derived,NASA POWER Daily API aggregated annual
Indonesia,2021,28591323.0,78332.0,0.53,11136150.0,30510.0,38.94959914211306,3330625.0,9125.0,11.649134453352398,5103430.0,13982.0,17.849665526221724,3.8,9122445.0,24993.0,12023.0,,,Jakarta,27.327,83.241,2947.07,304,94,2.383,teammate uploaded CSV; SIPSN-derived,NASA POWER Daily API aggregated annual
Indonesia,2022,38710014.0,106054.0,0.72,15444975.0,42315.0,39.89948516793332,4354815.0,11931.0,11.249929281309521,7122245.0,19513.0,18.399117430742827,2.02,13154235.0,36039.0,15499.0,,,Jakarta,27.282,83.12,2355.44,323,71,2.207,teammate uploaded CSV; SIPSN-derived,NASA POWER Daily API aggregated annual
Indonesia,2023,43260356.0,118521.0,0.78,17148065.0,46981.0,39.63938880029699,4663240.0,12776.0,10.779524303709891,8301560.0,22744.0,19.18984821255305,22.72,14171490.0,38826.0,1415.0,,,Jakarta,27.815,80.013,1617.71,234,38,2.29,teammate uploaded CSV; SIPSN-derived,NASA POWER Daily API aggregated annual
Indonesia,2024,39598553.0,108192.0,0.79,15543160.0,42584.0,39.35965690624076,4434385.0,12149.0,11.229111209701271,7665000.0,21000.0,19.40993788819876,116.0,12460735.0,34139.0,1435.0,,,Jakarta,28.134,81.262,2399.88,259,84,2.298,teammate uploaded CSV; SIPSN-derived,NASA POWER Daily API aggregated annual
Indonesia,2025,27864914.0,76342.0,0.69,9710057.3,26602.897,34.847,2607869.4,7144.848,9.359,4208425.3,11529.932,15.103,82.7,8279295.0,22683.0,1705.0,,,Jakarta,27.635,82.897,2922.86,313,84,2.477,teammate uploaded CSV; SIPSN-derived; 2025 composition overridden with uploaded SIPSN weighted municipality composition,NASA POWER Daily API aggregated annual
Singapore,2020,5880000.0,16065.573770491803,,665000.0,1816.9398907103825,11.30952380952381,,,,,,,,2841000.0,7762.295081967213,,3040000.0,52.0,Changi,28.047,,1886.6,145,64,2.516,NEA/SingStat official statistics; NEA food waste management,MSS/NEA Changi daily PDF aggregated annual
Singapore,2021,6944000.0,19024.657534246577,,817000.0,2238.3561643835615,11.765552995391705,,,,,,,,3118000.0,8542.465753424658,,3826000.0,55.0,Changi,27.908,,2809.6,141,73,2.333,NEA/SingStat official statistics; NEA food waste management,MSS/NEA Changi daily PDF aggregated annual
Singapore,2022,7385000.0,20232.87671232877,,813000.0,2227.3972602739727,11.00880162491537,,,,,,,,3197000.0,8758.90410958904,,4188000.0,57.0,Changi,27.862,,2207.8,173,76,2.175,NEA/SingStat official statistics; NEA food waste management,MSS/NEA Changi daily PDF aggregated annual
