"country","station","station_code","year","month","date_month","days_weather","days_humidity","precipitation_mm_total","precipitation_days_1mm","precipitation_days_10mm","temp_mean_c","relative_humidity_mean_pct","mean_daily_min_humidity_pct","mean_daily_max_humidity_pct","humidity_observations","wind_mean_kmh","source"
"Singapore","Changi/Upper Changi","S24","2020","1","2020-01-01","31","31","88.4","6","4","27.732","78.749","54.745","91.823","44445","11.829","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","2","2020-02-01","29","29","65","6","3","27.859","77.102","58.428","89.89","41729","12.869","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","3","2020-03-01","31","31","108.8","4","4","28.616","76.367","55.719","89.632","44566","10.665","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","4","2020-04-01","30","30","188","11","7","28.85","77.422","56.463","91.387","43135","8.43","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","5","2020-05-01","31","31","255.6","15","9","28.913","80.254","61.781","92.555","44326","7.403","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","6","2020-06-01","30","28","233.8","18","7","28.117","81.606","66.589","91.729","38336","8.179","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","7","2020-07-01","31","31","140.8","16","6","27.952","79.469","62.426","91.003","42678","8.613","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","8","2020-08-01","31","31","103.4","12","3","28.281","78.02","60.629","89.535","44393","9.29","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","9","2020-09-01","30","30","150.2","13","5","27.533","80.18","62.387","91.503","42986","7.947","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","10","2020-10-01","31","31","78.8","13","2","28.294","76.772","59.4","90.103","44189","7.297","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","11","2020-11-01","30","30","220.6","14","6","27.247","82.638","64.023","93.04","42947","6.79","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2020","12","2020-12-01","31","31","253.2","17","8","27.174","81.212","60.626","92.597","44430","9.371","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","1","2021-01-01","31","28","692.8","15","8","25.981","81.589","66.932","91.225","37910","10.177","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","2","2021-02-01","28","28","1","0","0","27.271","73.767","55.143","85.543","39637","13.232","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","3","2021-03-01","31","31","182.4","12","7","27.923","76.516","53.516","90.213","44575","9.884","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","4","2021-04-01","30","30","290.4","12","9","28.243","77.49","55.84","91.493","43148","6.837","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","5","2021-05-01","31","31","245.8","11","7","28.703","79.258","59.465","91.797","44505","7.11","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","6","2021-06-01","30","30","93.4","12","4","28.533","77.643","57.723","91.297","43142","7.003","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","7","2021-07-01","31","31","195.8","10","5","28.619","76.424","58.655","89.248","44479","8.884","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","8","2021-08-01","31","31","293.6","18","10","27.587","80.427","62.045","93.119","44523","7.761","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","9","2021-09-01","30","30","205.4","10","5","28.3","77.184","58.49","90.523","43107","8.32","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
"Singapore","Changi/Upper Changi","S24","2021","10","2021-10-01","31","31","177","11","5","28.474","78.248","58.361","91.387","44574","7.4","MSS/NEA Changi daily weather + data.gov.sg S24 humidity"
