country,year,composition_basis,weather_basis,food_pct,paper_pct,plastic_pct,paper_plastic_pct,wood_pct,textile_pct,yard_or_horticultural_pct,precipitation_mm_total,precipitation_days_1mm,relative_humidity_pct,temp_mean_c,composition_score_0_100,weather_moisture_score_0_100,final_risk_score_0_100,final_risk_level,data_quality_score_0_100,wang2021_eq14_lhv_mj_per_kg,lin2015_eq26_lhv_mj_per_kg,kumar2023_mlr2_lhv_mj_per_kg,korea_kwon2017_mean_lhv_mj_per_kg,korea_bae2024_general_mean_lhv_mj_per_kg,best_available_lhv_mj_per_kg,best_available_lhv_model,lhv_interpretation_type,lhv_caution_band,final_decision_class,caveat
Indonesia,2019,country_year_panel,NASA POWER Daily API aggregated annual,40.799,11.699,15.879,27.578,,,,1905.26,217,78.87,27.713,67.64,59.62,64.03,Medium,100,9.622,4.753,11.626,,,9.622,Wang2021_Eq14_composition_model,composition-model,Low/caution,LHV caution: verify with sampling before WtE commitment,
Indonesia,2020,country_year_panel,NASA POWER Daily API aggregated annual,40.799,11.699,15.879,27.578,,,,2669.54,303,83.051,27.565,67.64,85.28,75.58,High,100,9.622,4.753,11.626,,,9.622,Wang2021_Eq14_composition_model,composition-model,Low/caution,"High priority: source separation, drying/storage control, RDF/pre-treatment screening",
Indonesia,2021,country_year_panel,NASA POWER Daily API aggregated annual,38.95,11.649,17.85,29.499,,,,2947.07,304,83.241,27.327,60.63,91.06,74.32,High,100,9.756,5.179,11.94,,,9.756,Wang2021_Eq14_composition_model,composition-model,Low/caution,"High priority: source separation, drying/storage control, RDF/pre-treatment screening",
Indonesia,2022,country_year_panel,NASA POWER Daily API aggregated annual,39.899,11.25,18.399,29.649,,,,2355.44,323,83.12,27.282,61.96,79.08,69.66,Medium,100,9.758,5.256,12.141,,,9.758,Wang2021_Eq14_composition_model,composition-model,Low/caution,LHV caution: verify with sampling before WtE commitment,
Indonesia,2023,country_year_panel,NASA POWER Daily API aggregated annual,39.639,10.78,19.19,29.969,,,,1617.71,234,80.013,27.815,60.87,58.04,59.6,Medium,100,9.773,5.378,12.289,,,9.773,Wang2021_Eq14_composition_model,composition-model,Low/caution,LHV caution: verify with sampling before WtE commitment,
Indonesia,2024,country_year_panel,NASA POWER Daily API aggregated annual,39.36,11.229,19.41,30.639,,,,2399.88,259,81.262,28.134,59.05,77.8,67.49,Medium,100,9.826,5.475,12.339,,,9.826,Wang2021_Eq14_composition_model,composition-model,Low/caution,LHV caution: verify with sampling before WtE commitment,
Indonesia,2025,country_year_panel,NASA POWER Daily API aggregated annual,34.847,9.359,15.103,24.462,,,,2922.86,313,82.897,27.635,63.67,90.17,75.6,High,100,9.389,4.328,10.789,,,9.389,Wang2021_Eq14_composition_model,composition-model,Low/caution,"High priority: source separation, drying/storage control, RDF/pre-treatment screening",
Singapore,2020,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,18.972,25.062,29.285,54.347,3.837,4.611,2.253,1886.6,145,79.146,28.05,15.38,47.57,29.87,Low,75,11.697,10.066,14.554,,,11.697,Wang2021_Eq14_composition_model,composition-model,Favorable,Lower relative risk: maintain verification and routine quality control,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation."
Singapore,2021,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,21.264,22.418,29.634,52.052,2.437,5.837,1.764,2809.6,141,78.365,27.911,19.31,64.45,39.62,Low,75,11.495,9.835,14.854,,,11.495,Wang2021_Eq14_composition_model,composition-model,Favorable,Lower relative risk: maintain verification and routine quality control,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation."
Singapore,2022,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,20.863,20.988,29.528,50.516,3.785,7.789,1.001,2207.8,173,78.529,27.867,18.62,57.94,36.32,Low,75,11.37,10.016,14.94,,,11.37,Wang2021_Eq14_composition_model,composition-model,Favorable,Lower relative risk: maintain verification and routine quality control,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation."
