country,year,province,municipality,waste_generation_tpd,managed_waste_pct,unmanaged_waste_pct,leaked_to_environment_pct,food_waste_share_pct,paper_cardboard_share_pct,plastic_share_pct,estimated_lhv_low_mj_per_kg,estimated_lhv_mixed_mj_per_kg,existing_feedstock_risk_score_0_100,risk_weighted_waste_tpd,lhv_deficit_score_0_100,load_score_0_100,final_priority_score_0_100,priority_class
Indonesia,2025,Jawa Barat,Kabupaten Cianjur,1305.16,0.03,0.97,0.68,61.05,6.94,14.39,8.843,10.37,90.8,1185.085,78.92,87.07,88.23,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Kalimantan Barat,Kabupaten Sanggau,253.78,0,1,0.84,56.21,4.73,7.1,5.465,6.871,98.4,249.72,100,53.59,85.52,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Riau,Kota Pekanbaru,1050.84,0.22,0.78,0.02,56.35,2.78,14.19,8.008,9.418,82.95,871.672,99.8,82.63,85.48,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Timur,Kabupaten Pasuruan,833.7,0.31,0.69,0.69,58.5,5.7,10,6.835,8.298,88.65,739.075,100,77.89,84.75,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Barat,Kabupaten Indramayu,1121.64,0.09,0.91,0.37,45.17,8.47,13.78,8.26,9.39,76.65,859.737,93.5,83.96,84.37,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Kalimantan Timur,Kota Samarinda,607.95,0,1,0.01,52.88,11.41,12.94,8.615,9.938,80.35,488.488,84.63,71.43,81.48,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Lampung,Kabupaten Tulang Bawang,180.12,0.1,0.9,0.9,70,5,6,5.552,7.303,96.5,173.816,100,46.6,81.25,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Sulawesi Selatan,Kabupaten Luwu Utara,166.56,0.01,0.99,0.83,55,10,10,7.322,8.698,93.8,156.233,100,45,81.18,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Tengah,Kabupaten Wonogiri,421.66,0.06,0.94,0.88,53,16,11,8.5,9.826,85.7,361.363,87.5,63.95,80.78,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Bengkulu,Kabupaten Seluma,107.5,0,1,0.98,80,5,2,4.315,6.316,99.8,107.285,100,36.1,80.76,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Tengah,Kota Surakarta,421.48,0.12,0.88,0.07,49.55,7.17,10.29,6.844,8.083,80.9,340.977,100,63.95,80.7,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Tengah,Kabupaten Sragen,401.9,0.18,0.82,0.35,74.3,8.9,11.2,8.321,10.179,84.75,340.61,91.98,62.97,79.25,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Papua,Kota Jayapura,202.4,0,1,1,54,5.8,15.79,8.989,10.34,93.7,189.649,75.27,48.97,77.54,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Sumatera Barat,Kabupaten Agam,232.44,0.34,0.66,0.66,70.44,6.08,8.15,6.574,8.336,88.1,204.78,100,51.8,76.27,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Timur,Kabupaten Ngawi,371.87,0.27,0.73,0.71,60,11,12.5,8.632,10.133,83.35,309.954,84.2,61.39,75.38,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Sulawesi Utara,Kabupaten Bolaang Mongondow Timur,128.69,0,1,1,50.16,8.75,13.98,8.555,9.809,89.1,114.663,86.13,39.76,75.34,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Tengah,Kota Semarang,1190.46,0.08,0.92,0.2,60.8,10.2,17.2,10.413,11.933,79.75,949.392,39.67,85.18,75.2,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Sulawesi Tenggara,Kabupaten Buton,61.01,0,1,0.75,50,5,10,6.437,7.687,93.1,56.8,100,24.64,74.98,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Lampung,Kota Bandar Lampung,700.48,0.07,0.93,0,15.8,3,2.6,2.013,2.408,53.45,374.407,100,74.33,74.96,Tier 1: immediate RDF/pre-treatment screening
Indonesia,2025,Jawa Timur,Kabupaten Blitar,417,0.03,0.97,0.9,40,12.55,15,9.142,10.142,74.55,310.873,71.45,63.73,74.05,Tier 1: immediate RDF/pre-treatment screening
